rank,prev_rank,name,league,off,def,spi
277,289,Heracles,Dutch Eredivisie,1.25,1.41,41.8
278,378,Hull City,English League One,1.31,1.49,41.8
279,276,Arsenal Sarandi,Argentina Primera Division,1.28,1.45,41.78
280,278,Rosenborg,Norwegian Tippeligaen,1.34,1.53,41.66
281,312,Atlético San Luis,Mexican Primera Division Torneo Clausura,1.21,1.38,41.45
282,282,Tianjin Teda,Chinese Super League,1.28,1.47,41.44
283,331,KV Oostende,Belgian Jupiler League,1.29,1.48,41.39
284,283,Sporting Kansas City,Major League Soccer,1.36,1.57,41.31
285,284,Servette,Swiss Raiffeisen Super League,1.22,1.41,41.29
286,285,Atlético Tucumán,Argentina Primera Division,1.07,1.24,41.23
287,294,SC Paderborn,German 2. Bundesliga,1.23,1.42,41.2
288,286,Chicago Fire,Major League Soccer,1.48,1.72,41.16
289,287,Minnesota United FC,Major League Soccer,1.42,1.65,41.11
290,290,Dundalk,UEFA Europa League,1.48,1.72,41.02
291,291,San Lorenzo,Argentina Primera Division,1.14,1.33,40.96
292,279,Auxerre,French Ligue 2,1.24,1.45,40.89
293,268,KV Mechelen,Belgian Jupiler League,1.42,1.66,40.82
294,295,FC Ufa,Russian Premier Liga,0.94,1.1,40.81
295,296,Columbus Crew,Major League Soccer,1.28,1.5,40.81
296,281,Hatayspor,Turkish Turkcell Super Lig,1.21,1.42,40.7
297,299,Monza,Italy Serie B,1.17,1.38,40.59
298,300,Orlando City SC,Major League Soccer,1.32,1.56,40.56
299,301,Inter Miami CF,Major League Soccer,1.28,1.51,40.49
300,298,Sport Recife,Brasileiro Série A,1.04,1.23,40.47
301,302,Patronato,Argentina Primera Division,1.2,1.43,40.35
302,306,SpVgg Greuther Fürth,German 2. Bundesliga,1.26,1.5,40.33
303,303,Gimnasia La Plata,Argentina Primera Division,0.98,1.17,40.3
304,304,IFK Norrkoping,Swedish Allsvenskan,1.53,1.82,40.17
305,274,Amiens,French Ligue 2,1.04,1.25,40.13
306,288,Coventry City,English League Championship,1.09,1.31,40.08
307,310,Belenenses,Portuguese Liga,0.89,1.08,39.91
308,307,Colorado Rapids,Major League Soccer,1.37,1.65,39.89
309,309,Slovan Liberec,UEFA Europa League,1.19,1.44,39.87
310,311,Tijuana,Mexican Primera Division Torneo Clausura,1.13,1.38,39.82
311,297,Konyaspor,Turkish Turkcell Super Lig,1.26,1.53,39.68
312,316,Toronto FC,Major League Soccer,1.29,1.57,39.67
313,317,Banfield,Argentina Primera Division,0.98,1.2,39.66
314,292,Botafogo,Brasileiro Série A,1.17,1.43,39.61
315,280,Goiás,Brasileiro Série A,1.16,1.42,39.57
316,318,Rijeka,UEFA Europa League,1.28,1.56,39.55
317,320,Arizona United,United Soccer League,1.48,1.8,39.5
318,322,FC Dallas,Major League Soccer,1.27,1.55,39.47
319,314,VfL Bochum,German 2. Bundesliga,1.21,1.49,39.41
320,323,Kashiwa Reysol,Japanese J League,1.26,1.55,39.36
321,305,Leganes,Spanish Segunda Division,0.95,1.17,39.33
322,353,C.D. Nacional,Portuguese Liga,1.08,1.34,39.26
323,363,PEC Zwolle,Dutch Eredivisie,1.19,1.47,39.24
324,324,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
325,308,Heerenveen,Dutch Eredivisie,1.39,1.71,39.07
326,325,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
327,343,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.14,1.42,39.01
328,326,BK Hacken,Swedish Allsvenskan,1.07,1.34,38.97
329,327,Coritiba,Brasileiro Série A,1.04,1.3,38.9
330,329,Odense BK,Danish SAS-Ligaen,1.19,1.49,38.89
331,338,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.2,1.5,38.89
332,330,New York Red Bulls,Major League Soccer,1.3,1.63,38.83
333,333,AaB,Danish SAS-Ligaen,1.14,1.44,38.73
334,392,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.3,1.63,38.71
335,334,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
336,361,Toluca,Mexican Primera Division Torneo Clausura,1.18,1.49,38.63
337,337,Henan Jianye,Chinese Super League,1.25,1.57,38.55
338,359,Querétaro,Mexican Primera Division Torneo Clausura,1.09,1.39,38.54
339,319,St. Pölten,Austrian T-Mobile Bundesliga,1.36,1.71,38.51
340,315,Necaxa,Mexican Primera Division Torneo Clausura,1.16,1.47,38.46
341,340,Atlas,Mexican Primera Division Torneo Clausura,1.08,1.39,38.29
342,332,Fatih Karagümrük,Turkish Turkcell Super Lig,1.26,1.6,38.23
343,335,Birmingham,English League Championship,1.0,1.29,38.23
344,342,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
345,328,Tondela,Portuguese Liga,1.1,1.42,38.12
346,344,Wycombe Wanderers,English League Championship,1.13,1.45,38.11
347,345,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
348,350,Karlsruher SC,German 2. Bundesliga,1.29,1.65,38.07
349,347,Huracán,Argentina Primera Division,0.95,1.24,37.93
350,348,Hammarby,Swedish Allsvenskan,1.48,1.89,37.89
351,349,Sheffield Wednesday,English League Championship,1.0,1.31,37.79
352,365,Holstein Kiel,German 2. Bundesliga,1.2,1.55,37.76
353,351,Valerenga,Norwegian Tippeligaen,1.18,1.53,37.74
354,370,Girona FC,Spanish Segunda Division,0.83,1.09,37.74
355,352,FC Juárez,Mexican Primera Division Torneo Clausura,1.14,1.48,37.73
356,354,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
357,339,Kasimpasa,Turkish Turkcell Super Lig,1.22,1.59,37.61
358,355,Cerezo Osaka,Japanese J League,0.97,1.28,37.56
359,356,Nagoya Grampus Eight,Japanese J League,0.9,1.2,37.55
360,360,Atlanta United FC,Major League Soccer,1.11,1.46,37.41
361,293,SV Zulte Waregem,Belgian Jupiler League,1.31,1.71,37.39
362,362,Atromitos,Greek Super League,1.0,1.33,37.25
363,364,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
364,377,Grenoble,French Ligue 2,0.95,1.28,37.16
365,358,St. Truidense,Belgian Jupiler League,1.19,1.57,37.15
366,341,OH Leuven,Belgian Jupiler League,1.33,1.75,37.14
367,366,Nashville SC,Major League Soccer,0.99,1.33,36.92
368,371,Hartberg,Austrian T-Mobile Bundesliga,1.25,1.67,36.83
369,346,Lausanne Sports,Swiss Raiffeisen Super League,1.07,1.44,36.73
370,369,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
371,374,Antalyaspor,Turkish Turkcell Super Lig,1.02,1.39,36.64
372,357,Eupen,Belgian Jupiler League,1.18,1.59,36.63
373,383,Empoli,Italy Serie B,1.12,1.52,36.53
374,373,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
375,368,1. FC Heidenheim 1846,German 2. Bundesliga,1.04,1.43,36.44
376,372,Real Oviedo,Spanish Segunda Division,0.97,1.33,36.38
377,393,KFCO Beerschot-Wilrijk,Belgian Jupiler League,1.41,1.88,36.31
378,375,Houston Dynamo,Major League Soccer,1.28,1.73,36.3
379,389,FC Sion,Swiss Raiffeisen Super League,1.07,1.47,36.29
380,376,Melbourne City,Australian A-League,1.19,1.62,36.26
381,385,Fortuna Sittard,Dutch Eredivisie,1.3,1.76,36.04
382,379,Sanfrecce Hiroshima,Japanese J League,0.91,1.28,36.03
383,380,Sonderjyske,Danish SAS-Ligaen,1.13,1.56,35.98
384,381,FC Tambov,Russian Premier Liga,0.99,1.38,35.94
385,382,Puebla,Mexican Primera Division Torneo Clausura,0.97,1.36,35.91
386,406,Mouscron-Peruwelz,Belgian Jupiler League,1.01,1.42,35.76
387,384,San Jose Earthquakes,Major League Soccer,1.29,1.78,35.71
388,398,Las Palmas,Spanish Segunda Division,0.96,1.37,35.62
389,422,Caykur Rizespor,Turkish Turkcell Super Lig,1.22,1.69,35.55
390,387,FK Volgograd,Russian Premier Liga,0.93,1.33,35.48
391,388,IF Elfsborg,Swedish Allsvenskan,1.2,1.68,35.41
392,336,KV Kortrijk,Belgian Jupiler League,1.1,1.56,35.32
393,367,Sporting Gijón,Spanish Segunda Division,0.78,1.16,34.99
394,429,Paris FC,French Ligue 2,1.06,1.52,34.97
395,394,OFI Crete,Greek Super League,1.06,1.52,34.85
396,395,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
397,386,Lecce,Italy Serie B,1.12,1.61,34.74
398,400,Hibernian,Scottish Premiership,1.05,1.54,34.47
399,402,Viking FK,Norwegian Tippeligaen,1.35,1.92,34.4
400,420,Lugo,Spanish Segunda Division,0.82,1.24,34.34
401,418,Aberdeen,Scottish Premiership,1.04,1.53,34.31
402,405,Los Angeles Galaxy,Major League Soccer,1.27,1.83,34.26
403,399,Cittadella,Italy Serie B,0.97,1.44,34.17
404,391,SV Darmstadt 98,German 2. Bundesliga,1.17,1.7,34.14
405,401,1. FC Nürnberg,German 2. Bundesliga,1.09,1.62,33.84
406,409,Gamba Osaka,Japanese J League,1.02,1.53,33.76
407,410,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
408,411,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
409,412,FC Tokyo,Japanese J League,0.93,1.41,33.7
410,407,Fuenlabrada,Spanish Segunda Division,0.86,1.32,33.68
411,413,Real Salt Lake,Major League Soccer,1.0,1.51,33.64
412,414,Aldosivi,Argentina Primera Division,0.86,1.33,33.63
413,396,Portsmouth,English League One,1.02,1.54,33.61
414,431,Ankaragucu,Turkish Turkcell Super Lig,1.11,1.67,33.53
415,415,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
416,435,Livingston,Scottish Premiership,1.06,1.61,33.29
417,416,AIK,Swedish Allsvenskan,0.87,1.36,33.28
418,417,Kristiansund BK,Norwegian Tippeligaen,1.27,1.88,33.18
419,390,Willem II,Dutch Eredivisie,1.26,1.87,33.12
420,430,Peterborough United,English League One,1.08,1.64,33.07
421,408,Chievo Verona,Italy Serie B,0.9,1.42,33.05
422,397,Sunderland,English League One,0.9,1.42,32.98
423,404,Sydney FC,Australian A-League,1.09,1.67,32.9
424,419,Sochaux,French Ligue 2,0.89,1.41,32.84
425,403,Tenerife,Spanish Segunda Division,0.82,1.31,32.75
426,421,Shenzhen FC,Chinese Super League,1.19,1.81,32.64
427,440,Cercle Brugge,Belgian Jupiler League,1.08,1.69,32.28
428,427,Louisville City FC,United Soccer League,1.08,1.69,32.24
429,423,Jahn Regensburg,German 2. Bundesliga,1.06,1.66,32.23
430,446,SD Ponferradina,Spanish Segunda Division,0.88,1.43,32.18
431,432,Mjallby,Swedish Allsvenskan,1.17,1.82,32.08
432,434,Guingamp,French Ligue 2,0.99,1.59,32.04
433,436,Mazatlán FC,Mexican Primera Division Torneo Clausura,0.98,1.58,31.88
434,433,Valenciennes,French Ligue 2,0.98,1.6,31.57
435,424,Spal,Italy Serie B,0.96,1.57,31.52
436,438,Reno 1868 FC,United Soccer League,1.27,2.0,31.38
437,425,SV Ried,Austrian T-Mobile Bundesliga,1.15,1.83,31.38
438,439,Consadole Sapporo,Japanese J League,1.09,1.76,31.31
439,441,IFK Goteborg,Swedish Allsvenskan,0.93,1.56,30.77
440,426,Mirandes,Spanish Segunda Division,0.8,1.39,30.64
441,454,Perth Glory,Australian A-League,1.14,1.87,30.61
442,463,RKC,Dutch Eredivisie,1.06,1.77,30.38
443,437,Caen,French Ligue 2,0.91,1.56,30.34
444,428,Málaga,Spanish Segunda Division,0.76,1.36,30.24
445,442,Vissel Kobe,Japanese J League,1.17,1.92,30.22
446,443,Tampa Bay Rowdies,United Soccer League,0.96,1.64,30.21
447,445,Montreal Impact,Major League Soccer,1.13,1.88,30.18
448,447,Panetolikos,Greek Super League,0.86,1.51,30.07
449,465,CD Sabadell,Spanish Segunda Division,0.9,1.57,30.05
450,456,Kayserispor,Turkish Turkcell Super Lig,0.88,1.54,30.04
451,449,Colon Santa Fe,Argentina Primera Division,0.83,1.48,29.95
452,462,Western United,Australian A-League,1.11,1.88,29.82
453,451,FC St. Pauli,German 2. Bundesliga,1.05,1.79,29.78
454,450,Godoy Cruz,Argentina Primera Division,0.94,1.64,29.76
455,453,SV Sandhausen,German 2. Bundesliga,1.02,1.75,29.72
456,452,SuperSport United,South African ABSA Premier League,0.81,1.46,29.64
457,444,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,0.97,1.7,29.58
458,461,AD Alcorcon,Spanish Segunda Division,0.67,1.26,29.45
459,457,Odd BK,Norwegian Tippeligaen,1.18,1.99,29.43
460,484,Castellon,Spanish Segunda Division,0.86,1.55,29.41
461,466,VVV Venlo,Dutch Eredivisie,1.17,1.98,29.39
462,458,Vejle,Danish SAS-Ligaen,1.02,1.78,29.39
463,460,Doncaster Rovers,English League One,0.95,1.69,29.23
464,464,Pittsburgh Riverhounds,United Soccer League,0.91,1.64,28.95
465,468,Brescia,Italy Serie B,1.01,1.8,28.78
466,469,Stabaek,Norwegian Tippeligaen,0.95,1.72,28.65
467,459,Real Zaragoza,Spanish Segunda Division,0.71,1.38,28.55
468,470,Bidvest Wits,South African ABSA Premier League,0.74,1.44,28.42
469,471,FC Cartagena,Spanish Segunda Division,0.95,1.74,28.35
470,486,Pordenone Calcio,Italy Serie B,0.79,1.5,28.33
471,481,Emmen,Dutch Eredivisie,1.04,1.87,28.3
472,448,AC Ajaccio,French Ligue 2,0.77,1.48,28.24
473,472,Le Havre,French Ligue 2,0.76,1.47,28.23
474,474,Larissa,Greek Super League,0.7,1.38,28.18
475,473,Wellington Phoenix,Australian A-League,1.03,1.87,28.16
476,475,Urawa Red Diamonds,Japanese J League,0.92,1.71,28.07
477,476,Orebro SK,Swedish Allsvenskan,0.97,1.79,28.06
478,488,Oxford United,English League One,0.93,1.73,28.04
479,483,Erzgebirge Aue,German 2. Bundesliga,0.94,1.73,28.04
480,478,Varbergs BoIS FC,Swedish Allsvenskan,0.99,1.82,28.0
481,480,San Antonio FC,United Soccer League,1.03,1.88,27.84
482,477,AS Nancy Lorraine,French Ligue 2,0.9,1.7,27.78
483,501,Erzurumspor,Turkish Turkcell Super Lig,0.91,1.71,27.76
484,485,Lamia,Greek Super League,0.55,1.18,27.53
485,482,Logrones,Spanish Segunda Division,0.76,1.51,27.49
486,497,Waasland-Beveren,Belgian Jupiler League,1.03,1.91,27.49
487,487,Macarthur FC,Australian A-League,0.89,1.72,27.27
488,455,Genclerbirligi,Turkish Turkcell Super Lig,0.99,1.86,27.25
489,491,F.B.C Unione Venezia,Italy Serie B,0.76,1.52,27.21
490,489,DC United,Major League Soccer,1.02,1.91,27.15
491,494,Newcastle Jets,Australian A-League,0.98,1.86,27.06
492,490,Adelaide United,Australian A-League,1.04,1.94,27.01
493,467,Denizlispor,Turkish Turkcell Super Lig,0.91,1.76,26.94
494,493,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
495,511,Frosinone,Italy Serie B,0.78,1.58,26.72
496,479,VfL Osnabruck,German 2. Bundesliga,0.88,1.74,26.66
497,495,Sagan Tosu,Japanese J League,0.76,1.57,26.58
498,496,Western Sydney FC,Australian A-League,0.99,1.91,26.49
499,492,FC Vaduz,Swiss Raiffeisen Super League,0.86,1.72,26.36
500,498,Shimizu S-Pulse,Japanese J League,1.1,2.07,26.28
501,502,AC Horsens,Danish SAS-Ligaen,0.85,1.73,25.97
502,503,FC Xanthi,Greek Super League,0.58,1.33,25.81
503,504,Haugesund,Norwegian Tippeligaen,0.98,1.94,25.79
504,500,Würzburger Kickers,German 2. Bundesliga,0.86,1.77,25.7
505,509,Oita Trinita,Japanese J League,0.69,1.52,25.51
506,508,Lincoln City,English League One,0.8,1.68,25.47
507,510,Kilmarnock,Scottish Premiership,0.75,1.62,25.42
508,515,Albacete,Spanish Segunda Division,0.62,1.42,25.26
509,499,Chambly Thelle FC,French Ligue 2,0.82,1.74,25.21
510,506,ADO Den Haag,Dutch Eredivisie,0.99,2.0,25.18
511,514,Niort,French Ligue 2,0.85,1.79,25.06
512,529,Cremonese,Italy Serie B,0.75,1.65,24.83
513,507,Charlton Athletic,English League One,0.92,1.91,24.79
514,526,Rodez,French Ligue 2,0.73,1.63,24.75
515,512,Melbourne Victory,Australian A-League,0.95,1.97,24.63
516,528,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,0.98,2.05,24.29
517,517,Black Aces,South African ABSA Premier League,0.81,1.78,24.28
518,518,Maritzburg Utd,South African ABSA Premier League,0.56,1.39,24.05
519,513,Ipswich Town,English League One,0.7,1.63,23.97
520,505,Fleetwood Town,English League One,0.71,1.65,23.92
521,519,Pisa,Italy Serie B,0.79,1.78,23.83
522,521,SK Brann,Norwegian Tippeligaen,0.87,1.91,23.79
523,522,Sacramento Republic FC,United Soccer League,0.8,1.8,23.75
524,523,FC Cincinnati,Major League Soccer,0.75,1.72,23.73
525,524,IK Sirius,Swedish Allsvenskan,0.94,2.02,23.7
526,527,Vegalta Sendai,Japanese J League,0.8,1.81,23.52
527,525,Brisbane Roar,Australian A-League,0.82,1.85,23.38
528,530,Helsingborgs IF,Swedish Allsvenskan,0.83,1.88,23.31
529,534,Salernitana,Italy Serie B,0.77,1.78,23.23
530,516,Motherwell,Scottish Premiership,0.75,1.75,23.17
531,531,Vancouver Whitecaps,Major League Soccer,0.84,1.9,23.13
532,551,Dunkerque,French Ligue 2,0.72,1.72,23.08
533,520,Reggina,Italy Serie B,0.7,1.69,23.04
534,532,New Mexico United,United Soccer League,0.81,1.88,22.97
535,533,Dundee Utd,Scottish Premiership,0.65,1.62,22.96
536,535,Eintracht Braunschweig,German 2. Bundesliga,0.74,1.77,22.89
537,555,Milton Keynes Dons,English League One,0.76,1.81,22.6
538,536,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
539,537,St Johnstone,Scottish Premiership,0.7,1.75,22.13
540,538,Sarpsborg,Norwegian Tippeligaen,0.68,1.72,22.04
541,540,Stromsgodset,Norwegian Tippeligaen,0.96,2.17,22.01
542,541,Lyngby,Danish SAS-Ligaen,0.84,1.99,21.98
543,542,Orange County SC,United Soccer League,0.77,1.88,21.91
544,544,El Paso Locomotive FC,United Soccer League,0.66,1.7,21.89
545,545,Panionios,Greek Super League,0.51,1.45,21.84
546,543,Vicenza,Italy Serie B,0.68,1.73,21.82
547,546,Austin Bold FC,United Soccer League,0.94,2.16,21.69
548,547,Charleston Battery,United Soccer League,0.74,1.86,21.6
549,548,Blackpool,English League One,0.65,1.71,21.43
550,549,St Mirren,Scottish Premiership,0.57,1.59,21.39
551,550,Volos NFC,Greek Super League,0.65,1.73,21.22
552,553,Exeter City,English League Two,0.9,2.14,21.19
553,552,San Diego Loyal SC,United Soccer League,0.7,1.82,21.09
554,539,Cosenza,Italy Serie B,0.62,1.71,20.87
555,556,Indy Eleven,United Soccer League,0.68,1.84,20.5
556,562,Chateauroux,French Ligue 2,0.7,1.89,20.16
557,557,Shonan Bellmare,Japanese J League,0.58,1.68,20.11
558,558,Birmingham Legion FC,United Soccer League,0.84,2.15,19.81
559,560,Yokohama FC,Japanese J League,0.68,1.89,19.6
560,563,Virtus Entella,Italy Serie B,0.64,1.83,19.56
561,554,Accrington Stanley,English League One,0.65,1.86,19.41
562,561,Sandefjord,Norwegian Tippeligaen,0.6,1.78,19.39
563,559,Pau,French Ligue 2,0.62,1.82,19.26
564,565,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
565,567,Crewe Alexandra,English League One,0.67,1.94,18.89
566,574,Central Coast Mariners,Australian A-League,0.73,2.04,18.86
567,569,Gillingham,English League One,0.58,1.79,18.53
568,570,Miami FC,United Soccer League,0.83,2.25,18.46
569,564,Salford City,English League Two,0.54,1.74,18.43
570,568,US Pescara,Italy Serie B,0.58,1.81,18.33
571,571,Falkenbergs FF,Swedish Allsvenskan,0.74,2.11,18.32
572,572,Kalmar FF,Swedish Allsvenskan,0.6,1.86,18.23
573,566,Shrewsbury Town,English League One,0.56,1.79,18.22
574,573,Saint Louis FC,United Soccer League,0.64,1.94,18.03
575,575,Rochdale,English League One,0.87,2.36,17.94
